Date,Ticker,Open,High,Low,Close,Volume,avg_sentiment,SMA_10,RSI,Volatility_10,Sarima_Pred_1,Sarima_Pred_3,Sarima_Pred_7,SarimaH_Pred_1,SarimaH_Pred_3,SarimaH_Pred_7,LSTM_Pred_1,LSTM_Pred_3,LSTM_Pred_7,LSTMH_Pred_1,LSTMH_Pred_3,LSTMH_Pred_7
2019-12-31,AAPL,72.4825,73.42,72.38,73.4125,100805600,0.0,,,,,,,,,,,,,,,
2020-01-02,AAPL,74.06,75.15,73.7975,75.0875,135480400,0.125,,,,,,,,,,,,,,,
2020-01-03,AAPL,74.2875,75.145,74.125,74.3575,146322800,-0.333333,,100.0,,,,,,,,,,,,,
2020-01-06,AAPL,73.4475,74.99,73.1875,74.95,118387200,0.5,,96.98097601323408,,,,,,,,,,,,,
2020-01-07,AAPL,74.96,75.225,74.37,74.5975,108872000,0.0,,97.05820973928313,,,,,,,,,,,,,
2020-01-08,AAPL,74.29,76.11,74.29,75.7975,132079200,0.166667,,95.50087573025989,,,,,,,,,,,,,
2020-01-09,AAPL,76.81,77.6075,76.55,77.4075,170108400,0.5,,95.7496251480074,,,,,,,,,,,,,
2020-01-10,AAPL,77.65,78.1675,77.0625,77.5825,140644800,0.25,,96.06256130324307,,,,,,,,,,,,,
2020-01-13,AAPL,77.91,79.2675,77.7875,79.24,121532000,0.25,,96.09603546946762,,,,,,,,,,,,,
2020-01-14,AAPL,79.175,79.3925,78.0425,78.17,161954400,0.0,,96.40609249120942,0.011900006909096112,,,,,,,,,,,,
2020-01-15,AAPL,77.9625,78.875,77.3875,77.835,121923600,0.0,76.06025,91.38603153923631,0.013529344463456949,,,,,,,,,,,,
2020-01-16,AAPL,78.3975,78.925,78.0225,78.81,108829200,0.0,76.5025,89.81715752698123,0.013818699994838594,,,,,,,,,,,,
2020-01-17,AAPL,79.0675,79.685,78.75,79.6825,137816400,0.0,76.87474999999999,90.33458760630494,0.012766476506855423,,,,,,,,,,,,
2020-01-21,AAPL,79.2975,79.755,79.0,79.1425,110843200,0.0,77.40725,90.78360953945253,0.011770585964061463,,,,,,,,,,,,
2020-01-22,AAPL,79.645,79.9975,79.3275,79.425,101832400,0.0,77.8265,88.07048880236272,0.012534930156924718,,,,,,,,,,,,
2020-01-23,AAPL,79.48,79.89,78.9125,79.8075,104472000,0.0,78.30924999999999,88.2670317592099,0.012048212230758236,,,,,,,,,,,,
2020-01-24,AAPL,80.0625,80.8325,79.38,79.5775,146537600,0.0,78.71025,88.5409122467021,0.01155378932692376,,,,,,,,,,,,
2020-01-27,AAPL,77.515,77.9425,76.22,77.2375,161940000,-0.2,78.92725,87.2290924784017,0.010288048125655595,,,,,,,,,,,,
2020-01-28,AAPL,78.15,79.6,78.0475,79.4225,162234000,0.307692,78.89275,75.1001670307206,0.014492246598594249,,,,,,,,,,,,
2020-01-29,AAPL,81.1125,81.9625,80.345,81.085,216229200,0.142857,78.911,78.14098466081606,0.015755561673964105,,,,,,,,,,,,
2020-01-30,AAPL,80.135,81.0225,79.6875,80.9675,126743200,-0.5,79.2025,80.12014338258913,0.016151485766851978,,,,,,,,,,,,
2020-01-31,AAPL,80.2325,80.67,77.0725,77.3775,199588400,-0.166667,79.51575,79.57455678399792,0.016018355523914205,,,,,,,,,,,,
2020-02-03,AAPL,76.075,78.3725,75.555,77.165,173788400,0.0,79.3725,65.06950497418138,0.021750407274907253,,,,,,,,,,,,
2020-02-04,AAPL,78.8275,79.91,78.4075,79.7125,136616400,0.0,79.12075,64.32587232433467,0.02128878458727784,,,,,,,,,,,,
2020-02-05,AAPL,80.88,81.19,79.7375,80.3625,118826800,-0.5,79.17775,68.89221516217854,0.02404447651627213,,,,,,,,,,,,
2020-02-06,AAPL,80.6425,81.305,80.065,81.3025,105425600,0.0,79.2715,69.94395745166193,0.024142850947650733,,,,,,,,,,,,
2020-02-07,AAPL,80.5925,80.85,79.5,80.0075,117684000,0.0,79.421,71.44010549721457,0.024347008912176317,,,,,,,,,,,,
2020-02-10,AAPL,78.545,80.3875,78.4625,80.3875,109348800,0.0,79.46399999999998,66.55023345988256,0.024986348843375993,,,,,,,,,,,,
2020-02-11,AAPL,80.9,80.975,79.6775,79.9025,94323200,0.0,79.779,67.25489226373598,0.02261746073787031,,,,,,,,,,,,
2020-02-12,AAPL,80.3675,81.805,80.3675,81.8,113730400,0.0,79.827,65.37169041446555,0.021116424837416617,,,,,,,,,,,,
2020-02-13,AAPL,81.0475,81.555,80.8375,81.2175,94747600,0.0,79.8985,69.00923673624487,0.021431010620276476,,,,,,,,,,,,
2020-02-14,AAPL,81.185,81.495,80.7125,81.2375,80113600,0.0,79.92349999999999,66.70455940895873,0.02158011676790065,,,,,,,,,,,,
2020-02-18,AAPL,78.84,79.9375,78.6525,79.75,152531200,-0.428571,80.3095,66.74541502156511,0.014833680725202095,,,,,,,,,,,,
2020-02-19,AAPL,80.0,81.1425,80.0,80.905,93984000,0.666667,80.56800000000001,60.800267284862166,0.016461428263924348,,,,,,,,,,,,
2020-02-20,AAPL,80.6575,81.1625,79.5525,80.075,100566000,0.0,80.68724999999999,63.504643206247046,0.013544678051005095,,,,,,,,,,,,
2020-02-21,AAPL,79.655,80.1125,77.625,78.2625,129554000,0.0,80.6585,60.30153469473993,0.013799090354937362,,,,,,,,,,,,
2020-02-24,AAPL,74.315,76.045,72.3075,74.545,222195200,0.0,80.3545,53.93635182303241,0.014729614463819657,,,,,,,,,,,,
2020-02-25,AAPL,75.2375,75.6325,71.5325,72.02,230673600,0.0,79.80825,43.78082141103888,0.020059735455144674,,,,,,,,,,,,
2020-02-26,AAPL,71.6325,74.47,71.625,73.1625,198054800,-0.166667,78.9715,38.504768007988,0.02125766204967377,,,,,,,,,,,,
2020-02-27,AAPL,70.275,71.5,68.24,68.38,320605600,-1.0,78.2975,41.899187647673976,0.022861929876425383,,,,,,,,,,,,
2020-02-28,AAPL,64.315,69.6025,64.0925,68.34,426510000,0.285714,76.9555,33.584821821986324,0.02602893251092468,,,,,,,,,,,,
2020-03-02,AAPL,70.57,75.36,69.43,74.7025,341397200,0.148148,75.66775,33.52520576964545,0.026396513024251857,,,,,,,,,,,,
2020-03-03,AAPL,75.9175,76.0,71.45,72.33,319475600,0.0,75.01424999999999,48.96439419848228,0.043710171660720595,,,,,,,,,,,,
2020-03-04,AAPL,74.11,75.85,73.2825,75.685,219178400,0.125,74.27225,44.80670410839355,0.04428261318701375,,,,,,,,,,,,
2020-03-05,AAPL,73.88,74.8875,72.8525,73.23,187572800,0.0,73.75025000000001,51.098099669906055,0.04720337263402499,,,,,,,,,,,,
2020-03-06,AAPL,70.5,72.705,70.3075,72.2575,226176800,0.142857,73.06575000000001,46.90618024630645,0.04795827664720381,,,,,,,,,,,,
2020-03-09,AAPL,65.9375,69.5225,65.75,66.5425,286744800,0.142857,72.46525,45.32793163417561,0.04772919023459586,,,,,,,,,,,,
2020-03-10,AAPL,69.285,71.61,67.3425,71.335,285290000,-0.285714,71.66499999999999,37.40381142910157,0.05160030687741172,,,,,,,,,,,,
2020-03-11,AAPL,69.3475,70.305,67.965,68.8575,255598800,-0.6,71.59649999999999,45.901139405342235,0.05678592934721149,,,,,,,,,,,,
2020-03-12,AAPL,63.985,67.5,62.0,62.0575,418474000,0.0,71.166,42.69126335039533,0.057512719161090096,,,,,,,,,,,,
2020-03-13,AAPL,66.2225,69.98,63.2375,69.4925,370732000,-0.285714,70.53375,35.4094095567297,0.06221109299526022,,,,,,,,,,,,
2020-03-16,AAPL,60.4875,64.77,60.0,60.5525,322423600,-0.142857,70.649,46.16641799904983,0.07426797373366832,,,,,,,,,,,,
2020-03-17,AAPL,61.8775,64.4025,59.6,63.215,324056000,0.3,69.234,38.01092123842681,0.07777218774306224,,,,,,,,,,,,
2020-03-18,AAPL,59.9425,62.5,59.28,61.6675,300233600,0.222222,68.3225,41.31872042767301,0.07994544275839463,,,,,,,,,,,,
2020-03-19,AAPL,61.8475,63.21,60.6525,61.195,271857200,-0.2,66.92075,39.989863749599124,0.07744697861467215,,,,,,,,,,,,
2020-03-20,AAPL,61.795,62.9575,57.0,57.31,401693200,0.0,65.71724999999999,39.573502647481476,0.07731442169594123,,,,,,,,,,,,
2020-03-23,AAPL,57.02,57.125,53.1525,56.0925,336752800,-0.25,64.2225,36.248705449281786,0.0788000378182842,,,,,,,,,,,,
2020-03-24,AAPL,59.09,61.9225,58.575,61.72,287531200,0.166667,63.177499999999995,35.25418767171719,0.07606445466658228,,,,,,,,,,,,
2020-03-25,AAPL,62.6875,64.5625,61.075,61.38,303602000,0.25,62.21600000000001,42.99902171474827,0.08005609272142965,,,,,,,,,,,,
2020-03-26,AAPL,61.63,64.67,61.59,64.61,252087200,-0.125,61.46825,42.66862500275938,0.07964578963458177,,,,,,,,,,,,
2020-03-27,AAPL,63.1875,63.9675,61.7625,61.935,204216800,-0.166667,61.7235,46.82727959631748,0.0748407198565931,,,,,,,,,,,,
2020-03-30,AAPL,62.685,63.88,62.35,63.7025,167976400,-0.166667,60.96775,43.995538044506844,0.06436849879172776,,,,,,,,,,,,
2020-03-31,AAPL,63.9,65.6225,63.0,63.5725,197002000,0.0,61.28275,46.29470572122936,0.049537840587432776,,,,,,,,,,,,
2020-04-01,AAPL,61.625,62.18,59.7825,60.2275,176218400,0.0,61.31849999999999,46.145418114914776,0.04774074132797862,,,,,,,,,,,,
2020-04-02,AAPL,60.085,61.2875,59.225,61.2325,165934000,-0.25,61.1745,42.377959729236466,0.05021162739585534,,,,,,,,,,,,
2020-04-03,AAPL,60.7,61.425,59.7425,60.3525,129880000,0.0,61.178250000000006,43.853581652229224,0.05045577570026219,,,,,,,,,,,,
2020-04-06,AAPL,62.725,65.7775,62.345,65.6175,201820400,0.0,61.482499999999995,42.824711087170954,0.04561959413041386,,,,,,,,,,,,
2020-04-07,AAPL,67.7,67.925,64.75,64.8575,202887200,-0.2,62.435,50.299446518016126,0.05097857583811186,,,,,,,,,,,,
